"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"de:45:ba:9d:c9:42 ","168","0","2419","-78","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.56 +03:00","4","900","-416","3989","35,74","38,43","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2455","-58","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.54 +03:00","1056","76","-184","13448","34,38","40,57","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3211","-50","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.51 +03:00","676","-768","-196","17097","34,46","39,9","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","36","0","2605","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.47 +03:00","-424","-932","-136","13861","35,37","38,84","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2449","-71","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.43 +03:00","720","-712","-164","13960","33,11","39,42","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2413","-75","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.34 +03:00","4","904","-408","3970","35,71","38,38","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-50","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.26 +03:00","676","-768","-204","17088","34,45","39,89","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2443","-64","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.24 +03:00","720","-708","-168","13950","33,11","39,39","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","147","0","2515","-70","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.22 +03:00","960","308","-216","14115","34,78","38,59","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","110","2","2503","-67","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.21 +03:00","580","-824","-336","13668","33,81","39,72","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2413","-86","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.19 +03:00","4","900","-408","3961","35,7","38,39","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-61","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.18 +03:00","544","-824","-252","13144","36,46","37,62","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-96","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.14 +03:00","668","-764","-208","17082","34,44","39,87","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2443","-71","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.13 +03:00","724","-708","-164","13945","33,11","39,38","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-59","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.11 +03:00","544","-832","-248","13138","36,45","37,62","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.10 +03:00","1044","76","-184","13413","34,33","40,62","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2443","-70","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.06 +03:00","724","-720","-168","13938","33,1","39,36","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","147","2","2509","-79","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.05 +03:00","968","280","-200","14102","34,78","38,55","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
