id,time,count,name
317,2020-06-24 09:49:50.71263+00,7,Alueella
318,2020-06-24 09:49:56.239795+00,0,Aktiiviset
319,2020-06-24 09:50:24.977305+00,8,Alueella
320,2020-06-24 09:50:27.512331+00,1,Aktiiviset
321,2020-06-24 09:50:29.617457+00,0,Aktiiviset
322,2020-06-24 09:50:37.199873+00,7,Alueella
323,2020-06-24 09:50:38.54558+00,8,Alueella
324,2020-06-24 09:50:46.627988+00,9,Alueella
325,2020-06-24 09:50:47.343507+00,10,Alueella
326,2020-06-24 09:50:50.778072+00,1,Aktiiviset
327,2020-06-24 09:50:59.415692+00,2,Aktiiviset
328,2020-06-24 09:51:00.037258+00,3,Aktiiviset
329,2020-06-24 09:51:15.114863+00,2,Aktiiviset
330,2020-06-24 09:51:16.852028+00,1,Aktiiviset
331,2020-06-24 09:51:25.592161+00,2,Aktiiviset
332,2020-06-24 09:51:35.575165+00,1,Aktiiviset
333,2020-06-24 09:52:00.683416+00,9,Alueella
334,2020-06-24 09:52:01.99863+00,8,Alueella
335,2020-06-24 09:52:05.898138+00,2,Aktiiviset
336,2020-06-24 09:52:07.916254+00,7,Alueella
337,2020-06-24 09:52:08.464227+00,6,Alueella
338,2020-06-24 09:52:09.082063+00,5,Alueella
339,2020-06-24 09:52:13.291165+00,6,Alueella
340,2020-06-24 09:52:20.256141+00,3,Aktiiviset
341,2020-06-24 09:52:20.587455+00,2,Aktiiviset
342,2020-06-24 09:52:21.217553+00,1,Aktiiviset
343,2020-06-24 09:52:22.054508+00,0,Aktiiviset
344,2020-06-24 09:52:29.807363+00,1,Aktiiviset
345,2020-06-24 09:52:35.924724+00,7,Alueella
346,2020-06-24 09:52:36.477199+00,8,Alueella
347,2020-06-24 09:52:48.098094+00,0,Aktiiviset
348,2020-06-24 09:53:39.452604+00,1,Aktiiviset
349,2020-06-24 09:53:40.072398+00,0,Aktiiviset
350,2020-06-24 09:53:47.83849+00,1,Aktiiviset
351,2020-06-24 09:54:04.630245+00,0,Aktiiviset
352,2020-06-24 09:54:10.170612+00,1,Aktiiviset
353,2020-06-24 09:54:18.155034+00,0,Aktiiviset
354,2020-06-24 09:54:26.975774+00,1,Aktiiviset
355,2020-06-24 09:54:28.429334+00,2,Aktiiviset
356,2020-06-24 09:54:52.021265+00,1,Aktiiviset
357,2020-06-24 09:54:53.505589+00,7,Alueella
358,2020-06-24 09:54:58.21662+00,2,Aktiiviset
359,2020-06-24 09:55:08.648619+00,1,Aktiiviset
360,2020-06-24 09:55:15.151063+00,0,Aktiiviset
361,2020-06-24 09:55:30.738863+00,1,Aktiiviset
362,2020-06-24 09:55:47.622634+00,2,Aktiiviset
363,2020-06-24 09:56:09.487772+00,3,Aktiiviset
364,2020-06-24 09:56:17.59025+00,8,Alueella
365,2020-06-24 09:56:18.091262+00,9,Alueella
