time,readable_time,ble,rssi,wifi,dev-id
1592992462506,2020-06-24T09:54:22.506000Z,2,-97,0,D1C114BF764A1500
1592992464589,2020-06-24T09:54:24.589000Z,2,-104,2,D1C114BF764A1501
1592992522506,2020-06-24T09:55:22.506000Z,2,-97,1,D1C114BF764A1500
1592992524589,2020-06-24T09:55:24.589000Z,2,-104,1,D1C114BF764A1501
1592992582503,2020-06-24T09:56:22.503000Z,3,-108,4,D1C114BF764A1500
1592992640592,2020-06-24T09:57:20.592000Z,3,-107,1,D1C114BF764A1501
1592992702506,2020-06-24T09:58:22.506000Z,3,-103,2,D1C114BF764A1500
1592992704591,2020-06-24T09:58:24.591000Z,3,-102,3,D1C114BF764A1501
1592992758778,2020-06-24T09:59:18.778000Z,3,-98,2,D1C114BF764A1500
1592992764592,2020-06-24T09:59:24.592000Z,3,-100,3,D1C114BF764A1501
1592992822506,2020-06-24T10:00:22.506000Z,3,-97,2,D1C114BF764A1500
1592992824591,2020-06-24T10:00:24.591000Z,3,-104,1,D1C114BF764A1501
1592992884616,2020-06-24T10:01:24.616000Z,3,-101,2,D1C114BF764A1501
1592992887642,2020-06-24T10:01:27.642000Z,3,-95,1,D1C114BF764A1500
1592992938508,2020-06-24T10:02:18.508000Z,4,-102,1,D1C114BF764A1500
1592992944592,2020-06-24T10:02:24.592000Z,4,-103,3,D1C114BF764A1501
1592993002506,2020-06-24T10:03:22.506000Z,3,-97,0,D1C114BF764A1500
1592993004592,2020-06-24T10:03:24.592000Z,3,-101,0,D1C114BF764A1501
1592993062507,2020-06-24T10:04:22.507000Z,3,-112,0,D1C114BF764A1500
1592993123642,2020-06-24T10:05:23.642000Z,3,-93,2,D1C114BF764A1500
1592993124596,2020-06-24T10:05:24.596000Z,3,-105,2,D1C114BF764A1501
1592993178509,2020-06-24T10:06:18.509000Z,2,-99,1,D1C114BF764A1500
1592993184596,2020-06-24T10:06:24.596000Z,2,-113,2,D1C114BF764A1501
1592993242508,2020-06-24T10:07:22.508000Z,1,-98,1,D1C114BF764A1500
1592993244640,2020-06-24T10:07:24.640000Z,2,-113,2,D1C114BF764A1501
1592993302508,2020-06-24T10:08:22.508000Z,2,-99,1,D1C114BF764A1500
1592993304595,2020-06-24T10:08:24.595000Z,2,-104,1,D1C114BF764A1501
1592993362508,2020-06-24T10:09:22.508000Z,2,-97,3,D1C114BF764A1500
1592993364594,2020-06-24T10:09:24.594000Z,2,-113,3,D1C114BF764A1501
1592993424592,2020-06-24T10:10:24.592000Z,3,-101,3,D1C114BF764A1501
1592993478508,2020-06-24T10:11:18.508000Z,3,-99,2,D1C114BF764A1500
1592993484596,2020-06-24T10:11:24.596000Z,3,-104,1,D1C114BF764A1501
1592993538510,2020-06-24T10:12:18.510000Z,2,-96,2,D1C114BF764A1500
1592993598509,2020-06-24T10:13:18.509000Z,2,-93,3,D1C114BF764A1500
1592993600595,2020-06-24T10:13:20.595000Z,2,-105,3,D1C114BF764A1501
