952;2020-07-07 10:33:30.161165+00;3;Aktiiviset
953;2020-07-07 10:33:32.134884+00;2;Aktiiviset
954;2020-07-07 10:33:51.766175+00;1;Aktiiviset
955;2020-07-07 10:34:04.712098+00;2;Aktiiviset
956;2020-07-07 10:34:22.49592+00;1;Aktiiviset
957;2020-07-07 10:34:46.063078+00;2;Aktiiviset
958;2020-07-07 10:34:49.218448+00;3;Aktiiviset
959;2020-07-07 10:35:00.672505+00;2;Aktiiviset
960;2020-07-07 10:35:08.344278+00;3;Aktiiviset
961;2020-07-07 10:35:21.347714+00;2;Aktiiviset
962;2020-07-07 10:35:39.417224+00;1;Aktiiviset
963;2020-07-07 10:36:11.756939+00;2;Aktiiviset
964;2020-07-07 10:36:12.66341+00;3;Aktiiviset
965;2020-07-07 10:36:13.632672+00;4;Aktiiviset
966;2020-07-07 10:36:15.126425+00;5;Aktiiviset
967;2020-07-07 10:36:16.649265+00;10;Alueella
968;2020-07-07 10:36:24.089574+00;4;Aktiiviset
969;2020-07-07 10:36:30.125518+00;3;Aktiiviset
970;2020-07-07 10:36:44.7026+00;4;Aktiiviset
971;2020-07-07 10:37:02.011199+00;9;Alueella
972;2020-07-07 10:37:05.05913+00;3;Aktiiviset
973;2020-07-07 10:37:08.428024+00;2;Aktiiviset
974;2020-07-07 10:37:10.429026+00;10;Alueella
975;2020-07-07 10:37:25.041004+00;9;Alueella
976;2020-07-07 10:37:30.871615+00;3;Aktiiviset
977;2020-07-07 10:37:52.413112+00;2;Aktiiviset
978;2020-07-07 10:38:00.404791+00;3;Aktiiviset
979;2020-07-07 10:38:06.757835+00;2;Aktiiviset
980;2020-07-07 10:38:29.523844+00;3;Aktiiviset
981;2020-07-07 10:39:37.874501+00;4;Aktiiviset
982;2020-07-07 10:39:39.65023+00;5;Aktiiviset
983;2020-07-07 10:39:44.654626+00;4;Aktiiviset
984;2020-07-07 10:39:49.753601+00;3;Aktiiviset
985;2020-07-07 10:39:58.925522+00;10;Alueella
986;2020-07-07 10:40:00.740726+00;2;Aktiiviset
987;2020-07-07 10:40:12.084358+00;1;Aktiiviset
988;2020-07-07 10:40:18.039462+00;2;Aktiiviset
989;2020-07-07 10:40:25.699488+00;3;Aktiiviset
990;2020-07-07 10:41:05.076238+00;3;Alueella
991;2020-07-07 10:41:05.571062+00;4;Alueella
992;2020-07-07 10:41:06.000908+00;5;Alueella
993;2020-07-07 10:41:06.397498+00;6;Alueella
994;2020-07-07 10:41:07.049463+00;7;Alueella
995;2020-07-07 10:41:08.736637+00;8;Alueella
996;2020-07-07 10:41:09.481573+00;9;Alueella
997;2020-07-07 10:41:10.399752+00;10;Alueella
998;2020-07-07 10:41:25.312564+00;1;Aktiiviset
999;2020-07-07 10:41:33.159379+00;11;Alueella
1000;2020-07-07 10:41:40.073336+00;2;Aktiiviset
1001;2020-07-07 10:41:43.823457+00;3;Aktiiviset
1002;2020-07-07 10:41:46.296291+00;4;Aktiiviset
1003;2020-07-07 10:41:59.36182+00;3;Aktiiviset
1004;2020-07-07 10:41:59.740815+00;10;Alueella
1005;2020-07-07 10:42:00.049182+00;2;Aktiiviset
1006;2020-07-07 10:42:00.622982+00;3;Aktiiviset
1007;2020-07-07 10:42:02.527908+00;2;Aktiiviset
